Name,Team,BC,NPxG,xG,BCC,xA
Ünder, LEI,0,0.24,0.24,3,1.41
van de Beek, MUN,1,0.51,0.51,0,0.16
van Dijk, LIV,1,0.68,0.68,0,0.15
van Aanholt, CRY,1,1.04,1.04,1,1.01
de Gea, MUN,0,0.0,0.0,0,0.0
Zouma, CHE,2,1.79,1.79,0,0.5
Ziyech, CHE,0,0.56,0.56,4,2.11
Zinchenko, MCI,0,0.14,0.14,0,0.02
Ziger, CHE,0,0.0,0.0,0,0.0
Zeqiri, BHA,1,0.42,0.42,0,0.14
Zaha, CRY,8,4.24,5.76,3,3.03
Yedlin, NEW,0,0.03,0.03,0,0.14
Yarmolenko, WHU,0,0.23,0.23,0,0.21
Xhaka, ARS,0,0.38,0.38,0,0.18
Woods, CRY,0,0.0,0.0,0,0.0
Wood, BUR,14,6.88,6.88,1,1.7
Winks, TOT,0,0.0,0.0,0,0.07
Wilson, NEW,12,3.83,6.89,2,2.21
Willock, ARS,0,0.09,0.09,0,0.16
Willian, ARS,1,0.77,0.77,5,2.69
Williams, MUN,0,0.0,0.0,0,0.0
Wijnaldum, LIV,1,1.08,1.08,1,1.02
White, BHA,0,0.01,0.01,0,0.18
Westwood, BUR,0,0.51,0.51,5,2.83
Werner, CHE,11,6.48,6.48,4,3.43
Welbeck, BHA,5,2.56,2.56,3,1.8
Webster, BHA,0,0.98,0.98,0,0.53
Watkins, AVL,15,6.88,8.42,2,2.94
Ward-Prowse, SOU,0,1.36,1.36,1,1.54
Ward, LEI,0,0.0,0.0,0,0.0
Ward, CRY,0,0.02,0.02,1,0.49
Wan-Bissaka, MUN,0,0.35,0.35,1,0.71
Walker-Peters, SOU,0,0.67,0.67,1,0.92
Walker, MCI,0,0.52,0.52,0,0.33
Walcott, SOU,3,2.34,2.34,0,0.89
Vydra, BUR,0,0.29,0.29,1,0.62
Vokins, SOU,0,0.0,0.0,0,0.0
Vitinha, WOL,0,0.17,0.17,0,0.13
Virgínia, EVE,0,0.0,0.0,0,0.0
Vinagre, WOL,0,0.0,0.0,0,0.03
Vestergaard, SOU,1,1.21,1.21,1,0.8
Verrips, SHU,0,0.0,0.0,0,0.0
Veltman, BHA,0,0.04,0.04,0,0.28
Vardy, LEI,19,6.15,11.49,3,3.09
Valery, SOU,1,0.42,0.42,0,0.02
Tuanzebe, MUN,0,0.0,0.0,0,0.0
Tsimikas, LIV,0,0.0,0.0,0,0.0
Trézéguet, AVL,4,2.56,2.56,5,2.88
Trossard, BHA,2,1.92,1.92,4,2.89
Traoré, AVL,2,2.14,2.14,3,2.07
Traoré, WOL,0,0.68,0.68,2,1.85
Trafford, MCI,0,0.0,0.0,0,0.0
Townsend, CRY,1,1.34,1.34,5,2.9
Townsend, WBA,1,0.6,0.6,0,0.2
Tosun, EVE,0,0.0,0.0,0,0.04
Torres, MCI,3,2.39,2.39,1,1.15
Tomori, CHE,0,0.0,0.0,0,0.0
Tomkins, CRY,0,0.0,0.0,0,0.0
Tierney, ARS,0,0.48,0.48,3,2.08
Tielemans, LEI,3,1.54,3.05,0,0.59
Thompson, BUR,0,0.0,0.0,0,0.0
Thomas, LEI,0,0.15,0.15,0,0.06
Thomas, BUR,0,0.0,0.0,0,0.0
Thiago Silva, CHE,3,1.39,1.39,0,0.25
Thiago, LIV,0,0.11,0.11,0,0.26
Tete, FUL,0,0.0,0.0,1,0.51
Telles, MUN,0,0.17,0.17,1,0.7
Tella, SOU,0,0.01,0.01,0,0.01
Taylor, AVL,0,0.0,0.0,0,0.0
Taylor, BUR,0,0.19,0.19,0,0.3
Tarkowski, BUR,1,0.93,0.93,0,0.45
Targett, AVL,0,0.1,0.1,0,0.55
Tanganga, TOT,0,0.0,0.0,0,0.0
Söyüncü, LEI,0,0.08,0.08,0,0.16
Söndergaard, WOL,0,0.0,0.0,0,0.0
Sánchez, TOT,0,0.18,0.18,0,0.19
Sánchez, BHA,0,0.0,0.0,0,0.0
Struijk, LEE,0,0.02,0.02,0,0.06
Stones, MCI,1,0.32,0.32,0,0.06
Stevens, SHU,0,0.38,0.38,1,0.66
Sterling, MCI,8,5.12,5.12,6,4.18
Stephens, BUR,0,0.08,0.08,0,0.09
Stephens, SOU,0,0.18,0.18,1,0.57
Steffen, MCI,0,0.0,0.0,0,0.0
Steer, AVL,0,0.0,0.0,0,0.0
Steele, BHA,0,0.0,0.0,0,0.0
Soucek, WHU,7,4.52,4.52,0,1.29
Son, TOT,13,6.86,6.86,6,4.41
Snodgrass, WBA,0,0.0,0.0,0,0.0
Smith Rowe, ARS,1,0.47,0.47,1,0.65
Smallbone, SOU,0,0.0,0.0,0,0.0
Slimani, LEI,0,0.0,0.0,0,0.03
Sissoko, TOT,0,0.0,0.0,0,0.06
Simms, EVE,0,0.0,0.0,0,0.0
Sigurdsson, EVE,2,0.95,1.7,1,1.41
Shelvey, NEW,0,0.59,0.59,1,0.96
Shaw, MUN,0,0.19,0.19,3,1.88
Sharp, SHU,2,0.49,1.23,0,0.13
Shaqiri, LIV,0,0.01,0.01,1,0.48
Shackleton, LEE,0,0.02,0.02,0,0.09
Shabani, WOL,0,0.0,0.0,0,0.0
Semedo, WOL,1,0.81,0.81,0,0.49
Sean Longstaff, NEW,1,0.92,0.92,0,0.31
Schär, NEW,0,0.0,0.0,0,0.0
Schmeichel, LEI,0,0.0,0.0,0,0.0
Schlupp, CRY,2,1.74,1.74,2,1.61
Saïss, WOL,1,1.55,1.55,1,0.84
Sawyers, WBA,0,0.02,0.02,1,0.55
