name,goal,assist,cs,npxg,g,bcc,xa,bc,total_minn,total_goly,total_pen,total_pas,total_zhelt,total_kras
Rolando Aarons,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Tammy Abraham,0.00,0.00,0.00,1.42,3,0,0.2,3,,,,,,
Che Adams,0.00,0.00,0.00,1.81,1,3,1.64,4,,,,,,
Tosin Adarabioyo,0.00,0.00,0.00,0.34,0,0,0.13,1,,,,,,
Dennis Adeniran,None,None,None,None,None,None,None,None,,,,,,
Adrián,0.00,0.00,0.00,0.0,0,0,0.0,0,,,,,,
Adrien Silva,0.15,0.08,0.27,None,None,None,None,None,,,,,,
Sergio Agüero,0.35,0.13,0.18,0.5,0,0,0.11,1,,,,,,
Ahmed El Mohamady,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Ahmed Hegazi,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Ola Aina,0.00,0.00,0.00,0.04,0,0,0.1,0,,,,,,
Rayan Aït-Nouri,None,None,None,None,None,None,None,None,,,,,,
Semi Ajayi,0.00,0.00,0.00,0.52,1,0,0.15,1,,,,,,
Albian Ajeti,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Nathan Aké,0.03,0.02,0.10,0.0,0,0,0.0,0,,,,,,
Marc Albrighton,0.00,0.00,0.00,0.27,0,0,0.34,0,,,,,,
Toby Alderweireld,0.04,0.07,0.24,0.24,1,1,0.58,0,,,,,,
Ajibola Alese,None,None,None,None,None,None,None,None,,,,,,
Alex Telles,0.01,0.03,0.05,0.16,0,0,0.18,0,,,,,,
Trent Alexander-Arnold,0.00,0.00,0.00,0.1,0,0,0.52,0,,,,,,
Ali Koiki,None,None,None,None,None,None,None,None,,,,,,
Ezgjan Alioski,0.00,0.00,0.00,0.68,2,0,0.33,1,,,,,,
Alisson,0.00,0.00,0.00,0.0,0,0,0.0,0,,,,,,
Allan,0.02,0.04,0.02,0.0,0,0,0.03,0,,,,,,
Dele Alli,0.05,0.03,0.02,0.0,0,0,0.0,0,,,,,,
Miguel Almirón,0.09,0.07,0.16,0.91,1,0,0.23,1,,,,,,
Marcos Alonso,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Steven Alzate,0.01,0.01,0.01,0.01,0,0,0.04,0,,,,,,
Daniel Amartey,0.00,0.00,0.00,0.01,0,0,0.01,0,,,,,,
Luke Amos,None,None,None,None,None,None,None,None,,,,,,
Ethan Ampadu,0.03,0.06,0.29,0.02,0,0,0.15,0,,,,,,
Joseph Anang,None,None,None,None,None,None,None,None,,,,,,
Joachim Andersen,0.00,0.00,0.00,0.0,0,0,0.04,0,,,,,,
Elliot Anderson,0.00,0.00,0.00,0.0,0,0,0.0,0,,,,,,
Florin Andone,0.00,0.00,0.00,None,None,None,None,None,,,,,,
André Gomes,0.01,0.03,0.10,None,None,None,None,None,,,,,,
Andreas Pereira,0.00,0.00,0.00,0.0,0,2,0.85,0,,,,,,
Angeliño,None,None,None,None,None,None,None,None,,,,,,
Faustino Anjorin,0.00,0.00,0.00,0.0,0,0,0.0,0,,,,,,
Michail Antonio,0.00,0.00,0.00,0.17,0,0,0.08,0,,,,,,
Cameron Archer,None,None,None,None,None,None,None,None,,,,,,
Alphonse Areola,0.00,0.00,0.00,0.0,0,0,0.0,0,,,,,,
Stuart Armstrong,0.00,0.00,0.00,0.16,1,0,0.1,0,,,,,,
Kepa Arrizabalaga,0.00,0.00,0.00,0.0,0,0,0.0,0,,,,,,
Harry Arter,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Harrison Ashby,None,None,None,None,None,None,None,None,,,,,,
Luca Ashby-Hammond,None,None,None,None,None,None,None,None,,,,,,
Christian Atsu,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Pierre-Emerick Aubameyang,0.48,0.20,0.39,1.79,1,0,0.4,3,,,,,,
Serge Aurier,0.02,0.06,0.13,0.01,0,1,0.42,0,,,,,,
Brandon Austin,0.00,0.00,0.00,0.34,0,0,0.06,1,,,,,,
Taiwo Awoniyi,None,None,None,None,None,None,None,None,,,,,,
Jordan Ayew,0.09,0.04,0.05,0.47,0,0,0.07,1,,,,,,
Luke Ayling,0.00,0.00,0.00,0.25,0,0,0.23,0,,,,,,
Finn Azaz,None,None,None,None,None,None,None,None,,,,,,
Miguel Azeez,None,None,None,None,None,None,None,None,,,,,,
César Azpilicueta,0.00,0.00,0.00,0.16,0,0,0.15,0,,,,,,
Eric Bailly,0.00,0.00,0.02,0.04,0,0,0.04,0,,,,,,
Leighton Baines,None,None,None,None,None,None,None,None,,,,,,
Tiemoué Bakayoko,None,None,None,None,None,None,None,None,,,,,,
Lewis Baker,None,None,None,None,None,None,None,None,,,,,,
Fabián Balbuena,0.00,0.00,0.00,0.73,0,0,0.05,2,,,,,,
George Baldock,0.04,0.10,0.35,0.03,0,0,0.11,0,,,,,,
Gareth Bale,0.00,0.00,0.00,0.01,0,0,0.04,0,,,,,,
Danny Ballard,None,None,None,None,None,None,None,None,,,,,,
Folarin Balogun,None,None,None,None,None,None,None,None,,,,,,
Tudor Baluta,None,None,None,None,None,None,None,None,,,,,,
Patrick Bamford,0.00,0.00,0.00,2.66,2,1,1.05,5,,,,,,
Beni Baningime,None,None,None,None,None,None,None,None,,,,,,
Phil Bardsley,0.00,0.00,0.00,0.0,0,0,0.0,0,,,,,,
Ross Barkley,0.06,0.07,0.04,None,None,None,None,None,,,,,,
Daniel Barlaser,None,None,None,None,None,None,None,None,,,,,,
Ashley Barnes,0.19,0.07,0.07,1.22,1,0,0.41,1,,,,,,
Gareth Barry,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Kyle Bartley,0.00,0.00,0.00,0.0,0,0,0.0,0,,,,,,
Chris Basham,0.03,0.05,0.34,0.07,0,0,0.12,0,,,,,,
Lewis Bate,None,None,None,None,None,None,None,None,,,,,,
Michy Batshuayi,0.03,0.01,0.01,0.0,0,0,0.07,0,,,,,,
Nathan Baxter,None,None,None,None,None,None,None,None,,,,,,
Jack Bearne,None,None,None,None,None,None,None,None,,,,,,
Jan Bednarek,0.00,0.00,0.00,0.01,0,1,0.44,0,,,,,,
Héctor Bellerín,0.05,0.13,0.38,0.22,0,2,1.05,0,,,,,,
Filip Benkovic,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Ryan Bennett,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Saïd Benrahma,0.00,0.00,0.00,0.67,0,0,0.22,1,,,,,,
Josh Benson,0.01,0.02,0.02,0.01,0,0,0.01,0,,,,,,
Nabil Bentaleb,None,None,None,None,None,None,None,None,,,,,,
Christian Benteke,0.14,0.07,0.07,1.36,1,0,0.43,2,,,,,,
Gaetano Berardi,None,None,None,None,None,None,None,None,,,,,,
Sander Berge,0.00,0.00,0.00,0.02,0,0,0.02,0,,,,,,
